number,spam_label,reported_by_users,avg_call_frequency,avg_call_duration,no_of_unique_contacts,report_ratio,most_active_hour
7859865771,not_spam,1,3,278,24,0.05,8
7805409067,spam,300,89,8,15,2.55,0
8284190763,not_spam,2,6,133,35,0.01,11
6790821773,spam,173,69,51,6,1.69,1
9446237742,spam,352,95,57,14,1.52,1
8275949994,spam,283,65,52,14,3.97,0
6031353192,spam,132,84,41,6,4.54,4
6009574349,spam,389,22,17,2,1.84,1
9935416915,spam,333,100,60,15,1.69,3
8075359025,spam,366,42,13,6,2.35,1
7866360949,spam,404,84,14,14,3.05,0
8947712927,spam,445,40,45,3,1.95,2
6444372310,not_spam,0,4,331,56,0.01,18
9333980343,not_spam,1,2,484,29,0.02,15
8366910612,spam,93,64,27,5,3.01,4
7446831024,spam,276,84,40,13,2.25,5
7610809325,not_spam,1,2,77,72,0.05,12
7706094848,not_spam,1,5,238,42,0.04,8
7807466638,not_spam,2,3,357,24,0.02,19
6053831475,spam,167,39,17,12,3.94,2
6039273097,not_spam,2,1,281,18,0.04,11
6725483960,spam,173,98,27,3,1.02,3
9827026783,spam,75,95,14,8,3.78,1
9064587599,spam,165,23,11,11,4.29,6
8133548496,spam,426,65,52,11,3.42,2
7586034946,not_spam,2,2,380,88,0.01,8
7711665481,spam,180,34,20,11,4.78,6
8567665253,spam,178,58,29,2,1.36,4
8789476444,spam,133,40,45,9,3.21,6
9047504571,not_spam,2,10,456,96,0.04,15
9230912426,spam,118,70,49,12,3.52,4
9805096787,not_spam,0,4,269,97,0.04,8
7504392577,spam,294,71,53,12,1.19,4
6025003421,not_spam,1,4,288,32,0.0,11
7629191558,not_spam,2,7,280,65,0.04,13
8362638303,spam,207,53,25,6,4.7,4
6479406808,spam,101,98,53,12,1.66,1
7570689007,not_spam,0,3,266,80,0.0,19
8810033325,spam,409,97,57,7,3.75,2
7949363853,spam,167,39,17,12,3.94,2
8909494817,spam,379,28,14,15,2.81,3
6764505962,not_spam,2,3,407,83,0.03,20
7690841351,not_spam,0,1,530,66,0.01,14
6435493013,not_spam,1,6,82,12,0.01,9
9032603101,spam,404,55,38,15,3.93,6
8871935604,spam,293,57,37,11,3.36,3
8143438236,spam,396,30,25,6,2.13,3
9896091125,not_spam,1,5,411,28,0.0,11
6424708014,spam,294,85,17,6,4.5,0
6483200360,not_spam,1,7,484,96,0.02,8
9694318529,not_spam,0,7,493,94,0.04,18
9380049872,not_spam,1,4,177,54,0.04,17
9392670629,not_spam,2,1,577,40,0.05,13
6144888951,spam,454,54,20,11,2.48,6
8997545376,not_spam,0,2,467,51,0.02,19
7518240091,spam,454,54,20,11,2.48,6
9887668061,not_spam,1,2,73,44,0.03,20
6769889906,spam,207,68,21,13,2.99,3
8451225654,not_spam,0,4,331,56,0.01,18
8535525027,not_spam,2,9,503,78,0.04,20
8319918249,spam,129,66,44,4,3.95,5
9575545608,not_spam,1,2,503,23,0.0,11
6232314769,not_spam,2,1,575,26,0.01,15
7788429531,not_spam,1,8,218,46,0.04,8
7180576283,not_spam,1,8,548,88,0.03,9
8740621667,spam,194,67,36,9,3.26,1
7139643714,spam,399,47,26,7,4.76,0
9865531825,spam,179,30,51,11,2.79,5
8309108421,spam,150,59,49,6,4.27,1
8838923291,not_spam,0,10,315,85,0.01,9
7220110026,spam,389,22,17,2,1.84,1
7213660093,not_spam,1,5,214,37,0.04,13
9114435106,not_spam,0,7,254,72,0.01,10
8258840087,spam,75,52,23,2,2.75,0
7171235304,not_spam,0,2,330,53,0.04,13
6770697125,not_spam,2,3,357,24,0.02,19
8985015516,spam,207,68,21,13,2.99,3
6198988170,spam,254,63,34,10,3.86,6
7915087237,not_spam,2,5,394,34,0.02,21
7004890325,spam,454,54,20,11,2.48,6
7335636777,not_spam,0,6,124,41,0.04,21
9040970207,spam,164,33,49,3,1.32,4
7576851011,spam,186,81,9,11,1.25,4
9456226175,not_spam,1,2,553,77,0.01,20
9572409381,spam,441,52,46,4,2.68,5
8454596542,spam,234,35,47,15,3.06,3
6734439354,spam,72,74,49,13,4.84,3
8166684187,spam,77,45,6,14,3.24,2
8338835155,not_spam,2,4,132,40,0.01,18
6769736074,spam,211,73,42,12,2.78,4
8634459391,spam,413,68,40,10,2.6,4
7892584434,not_spam,2,7,407,75,0.01,18
8325779960,not_spam,0,10,279,98,0.05,13
8344234954,not_spam,1,3,185,40,0.0,12
9010970407,spam,118,70,49,12,3.52,4
7536294478,spam,119,77,53,8,4.75,2
9320441860,spam,408,73,49,4,4.47,2
7810200748,spam,82,72,52,13,3.19,0
6750384894,not_spam,2,1,522,22,0.0,21
6706204178,spam,282,50,17,12,3.71,4
8928835539,spam,407,88,58,15,4.18,0
7594782715,not_spam,2,2,318,64,0.02,15
6375419540,spam,181,94,54,2,1.42,6
9885476043,spam,270,35,60,14,3.25,3
7307700022,not_spam,1,5,214,37,0.04,13
8332474115,not_spam,1,5,349,91,0.02,12
7008591750,spam,57,40,54,6,3.13,3
6158183524,spam,157,88,13,13,3.09,1
8227149776,spam,373,20,20,9,4.98,3
8624705045,not_spam,0,5,115,24,0.03,13
6995532566,not_spam,2,10,523,55,0.04,20
6185826183,not_spam,0,8,134,39,0.01,22
7878353475,spam,488,84,19,6,2.18,3
7541727799,spam,162,43,57,10,2.25,0
9268463680,not_spam,0,6,78,19,0.02,12
8867872069,not_spam,1,9,385,16,0.02,13
8381643706,not_spam,1,2,73,44,0.03,20
8957022629,not_spam,2,9,246,10,0.05,9
8123213375,not_spam,1,1,281,35,0.01,18
8221181866,spam,106,99,59,4,4.51,4
8522183215,not_spam,1,7,228,33,0.02,20
6893265512,spam,305,21,50,9,3.32,5
6499749126,not_spam,2,4,132,40,0.01,18
7376940206,not_spam,1,8,333,11,0.05,9
9953985494,not_spam,1,4,191,49,0.0,10
7253789882,spam,411,63,27,4,4.03,4
9761016786,spam,494,81,7,2,3.22,0
9438962698,spam,443,48,21,3,1.22,3
8978621974,not_spam,1,9,322,71,0.04,22
6027530401,not_spam,0,1,379,12,0.01,22
8319750012,not_spam,2,9,384,60,0.01,10
6419458758,not_spam,1,3,543,71,0.02,8
6262992628,spam,228,88,34,4,2.72,3
8207525576,spam,275,50,38,10,4.98,5
9868778462,not_spam,2,10,238,35,0.01,9
9191486919,spam,334,54,31,3,2.8,4
8941060190,not_spam,2,8,117,66,0.03,16
7013451532,not_spam,1,5,396,93,0.04,21
6541772938,not_spam,2,7,341,49,0.03,19
7467425645,spam,71,29,56,10,3.79,4
6990588306,not_spam,0,10,117,68,0.01,14
6471409795,not_spam,1,6,111,12,0.01,18
8114256100,not_spam,0,8,518,71,0.01,8
6870382195,spam,313,97,52,11,4.15,1
6961694970,spam,251,71,51,14,3.89,4
6782056700,not_spam,1,7,484,96,0.02,8
8901041187,not_spam,1,8,496,72,0.02,10
7729533224,spam,315,88,38,8,1.97,4
7471894914,not_spam,1,4,244,13,0.05,14
6149898097,not_spam,1,6,301,21,0.02,18
7594065972,spam,432,99,6,5,4.01,1
8324629912,not_spam,2,5,453,67,0.0,21
8145624695,not_spam,1,6,315,23,0.01,12
8932371878,spam,284,57,45,2,2.35,1
6306157838,not_spam,2,3,376,27,0.02,14
8371365496,not_spam,2,8,108,61,0.02,20
9400527659,not_spam,2,2,373,17,0.04,12
8076375941,not_spam,2,3,130,35,0.02,18
9533260706,not_spam,2,9,520,36,0.05,12
8583233273,spam,445,40,45,3,1.95,2
9841855976,spam,254,52,31,11,1.02,2
9833937349,spam,115,97,15,9,4.23,2
8777152718,not_spam,0,7,199,87,0.05,17
7226156493,not_spam,0,6,78,19,0.02,12
7788814819,not_spam,1,6,570,62,0.01,13
6484552015,not_spam,1,7,458,64,0.02,18
8968810220,not_spam,0,1,107,99,0.03,21
7556196814,spam,322,82,24,4,4.92,4
6464498627,not_spam,0,9,409,53,0.05,18
9780747938,not_spam,2,1,133,11,0.03,19
6580098847,spam,276,78,12,8,4.93,0
9916994827,not_spam,2,5,244,86,0.03,22
6635928032,spam,457,39,48,3,4.39,3
7736049863,spam,408,73,49,4,4.47,2
7658542041,spam,335,55,25,10,2.73,3
6964983948,not_spam,2,6,235,80,0.01,17
9840374506,not_spam,0,8,127,67,0.03,9
7769237022,spam,480,85,9,7,4.46,2
8710106322,spam,164,33,49,3,1.32,4
8296908382,not_spam,1,7,514,80,0.05,17
9500510242,spam,148,62,14,9,1.4,2
7843006249,not_spam,0,10,233,100,0.04,11
9602105181,spam,443,48,21,3,1.22,3
7801519362,spam,396,39,59,4,1.66,1
6797460789,spam,243,61,5,8,2.84,2
9703349179,spam,480,85,9,7,4.46,2
8480266487,spam,434,97,22,12,3.68,0
6644630085,spam,488,84,19,6,2.18,3
9498237366,spam,313,97,52,11,4.15,1
6583218326,not_spam,0,6,333,48,0.03,10
7049406598,spam,264,76,57,12,4.69,1
9524705541,not_spam,1,5,534,30,0.01,11
7615505136,not_spam,2,4,504,94,0.03,8
8798983023,spam,238,60,47,10,4.75,2
7557608861,not_spam,0,10,349,65,0.03,12
7160842390,spam,277,86,15,4,4.69,3
7674317881,spam,477,98,28,6,2.89,5
9138379141,not_spam,2,10,83,52,0.02,22
6545072955,spam,352,32,7,9,3.3,5
7311267692,spam,83,64,5,10,3.77,4
8325069217,not_spam,2,6,241,73,0.02,10
9870697433,spam,106,49,37,10,2.91,0
9219811055,not_spam,2,3,143,13,0.02,11
6623039124,spam,211,73,42,12,2.78,4
9702104287,spam,216,59,25,3,4.83,3
7425155221,not_spam,1,2,310,42,0.01,16
9700702903,not_spam,1,4,441,28,0.02,10
7690076360,spam,62,34,56,4,4.74,6
8812270010,not_spam,2,5,504,58,0.05,18
8176056290,not_spam,0,10,349,65,0.03,12
6792462725,spam,82,72,52,13,3.19,0
7949147196,not_spam,1,8,358,34,0.04,16
7138580158,not_spam,2,5,276,21,0.0,12
8602167910,not_spam,1,7,228,33,0.02,20
7661165448,not_spam,2,3,357,24,0.02,19
6766964582,not_spam,1,6,595,48,0.01,14
6594228802,not_spam,1,3,455,88,0.02,17
8375970533,spam,246,75,52,14,3.91,5
7190602982,spam,228,88,34,4,2.72,3
8214523338,not_spam,0,3,479,57,0.05,21
7931708701,spam,335,55,25,10,2.73,3
9503354968,not_spam,2,8,284,37,0.04,12
8091196259,not_spam,1,7,514,80,0.05,17
6817028410,not_spam,2,8,436,47,0.04,22
8742335873,spam,430,91,40,11,1.24,5
6156182013,spam,315,41,23,12,3.42,3
8771652841,spam,109,99,45,4,4.69,1
7623397375,spam,489,45,26,12,1.59,4
7687818122,spam,110,59,23,9,3.84,5
9407989890,not_spam,0,7,149,97,0.02,21
7107295677,spam,234,96,52,10,1.34,0
8506643908,not_spam,2,3,600,48,0.02,13
8054181390,not_spam,2,8,108,61,0.02,20
8295781416,spam,203,52,49,13,2.16,2
7285582577,spam,375,70,58,3,2.93,3
9458182270,not_spam,0,6,189,98,0.05,21
6168598505,spam,170,34,55,8,4.09,2
8487183644,not_spam,1,9,181,81,0.0,18
9787753358,not_spam,0,8,217,69,0.05,14
6406233986,spam,207,53,25,6,4.7,4
6744771982,spam,366,42,13,6,2.35,1
9641669794,spam,150,59,49,6,4.27,1
8033645700,not_spam,2,3,69,26,0.04,10
9848473171,not_spam,2,6,403,88,0.04,13
8181654893,spam,179,39,25,2,2.21,0
9668128931,spam,97,75,33,5,1.08,2
8747028343,not_spam,0,9,307,57,0.04,9
8302901782,spam,396,39,59,4,1.66,1
6958347340,not_spam,2,4,504,94,0.03,8
7299609378,spam,78,76,58,3,3.1,1
6534814554,spam,205,28,29,3,2.41,6
6763624047,not_spam,2,3,376,27,0.02,14
9229689720,not_spam,2,10,456,96,0.04,15
7811237910,not_spam,0,9,507,82,0.02,22
6612523387,not_spam,2,7,274,99,0.01,10
6589393579,not_spam,0,5,151,63,0.05,8
6115765904,not_spam,0,2,212,36,0.04,8
6485912170,spam,288,38,55,10,3.49,1
6651628142,spam,373,72,54,4,2.85,2
6108837492,not_spam,1,1,383,24,0.02,8
6336216956,spam,228,88,34,4,2.72,3
9654952772,spam,276,64,19,13,3.03,4
6174317498,spam,257,30,50,15,1.77,1
6280487854,spam,145,20,58,9,4.74,2
6405863550,spam,317,46,19,4,2.89,4
9371787419,spam,125,53,48,6,1.79,5
7358371462,not_spam,0,6,68,19,0.02,14
6006796240,spam,416,34,43,6,1.81,5
6193706526,not_spam,0,10,279,98,0.05,13
9229142537,not_spam,0,6,141,16,0.01,16
8878097239,not_spam,2,4,455,72,0.02,13
8136208705,not_spam,2,8,108,61,0.02,20
6514475206,spam,132,69,10,2,3.09,4
7551682310,not_spam,1,3,360,48,0.03,12
9526118811,not_spam,2,2,318,64,0.02,15
9074293528,not_spam,1,3,519,70,0.02,10
9577439748,not_spam,1,2,534,50,0.01,9
8358300049,spam,275,50,38,10,4.98,5
9911807777,spam,405,23,29,2,4.29,2
8303279284,spam,357,85,45,12,2.01,4
7088130273,not_spam,1,3,208,15,0.02,17
7795447789,spam,214,64,5,4,4.69,3
8885616514,not_spam,2,10,370,76,0.0,17
6959788824,spam,257,50,20,8,3.53,6
8120957774,spam,426,33,29,11,3.16,5
7569655999,not_spam,2,3,459,18,0.04,18
6850338558,spam,197,20,31,6,2.64,2
7943625244,spam,255,42,47,7,2.94,3
9341350483,not_spam,2,3,376,27,0.02,14
7779037882,not_spam,1,9,451,83,0.0,15
7203700212,not_spam,2,3,275,56,0.05,21
8110836022,not_spam,1,3,278,24,0.05,8
8530385090,not_spam,2,3,135,67,0.01,11
9854967818,spam,311,98,50,5,2.06,3
9683577125,not_spam,1,2,139,96,0.05,15
7845187639,not_spam,1,8,218,46,0.04,8
6882967063,spam,258,40,58,5,1.49,6
9862639928,spam,125,53,48,6,1.79,5
9823790072,spam,207,53,25,6,4.7,4
8352347875,not_spam,0,6,197,25,0.04,22
9372714123,spam,284,57,45,2,2.35,1
8157312597,spam,366,42,13,6,2.35,1
9899923604,spam,116,35,21,7,1.47,4
7361597767,not_spam,0,10,267,57,0.05,21
6120916230,not_spam,2,3,126,12,0.03,12
9460636641,spam,439,54,6,2,3.06,3
9338318483,spam,430,89,36,12,1.95,5
8815177077,spam,454,54,20,11,2.48,6
9978038198,spam,246,100,43,12,4.12,3
7243128446,not_spam,2,8,117,66,0.03,16
9619833961,spam,372,85,58,2,1.96,5
9130155768,spam,324,73,9,2,3.81,6
9565220397,not_spam,1,9,431,66,0.04,15
8549791542,spam,463,80,36,5,4.68,0
8362637797,spam,101,98,53,12,1.66,1
8041796026,spam,381,98,27,3,1.78,4
8852896430,spam,431,67,49,9,4.3,4
8599909963,spam,285,78,28,5,4.88,1
9205310221,spam,426,21,46,9,2.5,3
6525440547,not_spam,0,2,330,53,0.04,13
6242596421,not_spam,1,10,441,58,0.02,16
8637044455,not_spam,2,1,317,44,0.05,10
7660137968,spam,214,64,5,4,4.69,3
9605823698,not_spam,2,6,133,35,0.01,11
6737958784,spam,227,79,15,8,1.98,4
6974749127,spam,247,78,21,3,2.84,5
7798942467,not_spam,0,8,89,31,0.04,16
6424229895,spam,88,25,31,8,4.61,2
7916572184,spam,296,27,58,5,2.6,1
6777773763,not_spam,1,4,463,41,0.0,22
9196776005,not_spam,2,10,579,11,0.04,18
8073364850,not_spam,1,6,595,48,0.01,14
9255578693,not_spam,2,2,472,28,0.02,9
6802383409,spam,365,77,35,5,1.34,1
7600670940,spam,278,59,53,4,4.68,1
6463141563,not_spam,2,1,131,56,0.03,21
8194416869,spam,416,34,43,6,1.81,5
7536455270,spam,87,37,36,2,4.67,2
7102569971,not_spam,2,10,436,86,0.02,9
6995410772,spam,195,70,34,2,3.99,5
7127029471,not_spam,2,2,213,57,0.02,8
9616792676,not_spam,0,4,197,14,0.01,14
8945593629,not_spam,1,3,288,86,0.04,22
8654371820,spam,379,46,45,7,2.26,6
9083936419,not_spam,1,3,499,58,0.03,19
6852919100,not_spam,2,4,531,96,0.03,19
6510802085,spam,173,96,42,13,1.23,3
7294287786,spam,129,84,58,5,4.4,5
7205044069,not_spam,0,5,205,34,0.04,14
7553374910,not_spam,2,9,384,60,0.01,10
8163575779,spam,356,95,56,7,3.21,6
8677453845,not_spam,1,3,185,40,0.0,12
7678897737,spam,128,66,14,8,4.62,0
6186664550,not_spam,2,4,132,40,0.01,18
9191157568,not_spam,0,3,544,91,0.03,17
9167057242,not_spam,2,3,357,24,0.02,19
9888482603,spam,234,35,47,15,3.06,3
6104933132,spam,390,65,10,8,4.37,6
8781049175,spam,309,65,6,13,3.09,0
8639535192,spam,102,89,16,8,4.89,6
9983116515,spam,405,38,26,7,4.33,2
8914885228,spam,399,47,26,7,4.76,0
8613203788,spam,83,64,5,10,3.77,4
9103155740,spam,332,73,53,13,4.79,1
7952131188,spam,179,39,25,2,2.21,0
8532432011,spam,482,89,58,5,3.85,4
9754059477,spam,134,99,54,14,1.1,2
9047844785,not_spam,1,8,333,11,0.05,9
6855610086,spam,300,33,47,7,3.39,1
8646472921,spam,490,27,45,3,3.51,4
9315988108,spam,413,68,40,10,2.6,4
9720914241,spam,432,99,6,5,4.01,1
8256505395,spam,179,30,51,11,2.79,5
7467822431,spam,426,21,46,9,2.5,3
7253785929,not_spam,0,7,343,95,0.04,17
8019602766,not_spam,1,7,556,89,0.01,12
6669940336,spam,436,75,48,2,3.35,4
7053016455,spam,56,79,32,4,2.38,6
6050369296,spam,480,85,9,7,4.46,2
8290936743,not_spam,2,3,600,48,0.02,13
7200454189,spam,389,22,17,2,1.84,1
9551966105,spam,195,70,34,2,3.99,5
7523599816,not_spam,2,10,161,15,0.02,10
9922667476,not_spam,0,5,69,67,0.01,22
9668119429,spam,230,36,53,6,4.87,3
8001313297,not_spam,2,5,480,62,0.02,15
7944005793,spam,254,52,31,11,1.02,2
8211924950,spam,372,85,58,2,1.96,5
8939738578,not_spam,1,7,331,75,0.01,19
